workout_id,user_id,workout_start_time,workout_duration_min,workout_type,muscleGroupsTargeted,workout_style,trainer_name,trainer_follower_count,difficulty_level,completion_status,engagement_score
84,45,11/19/2023 12:43,10,Exercise,"['Back', 'Core']",Cardio,Emma Rodriguez,2500000,Beginner,TRUE,2.79
85,35,8/15/2023 19:44,30,Movement,"['Biceps', 'Triceps']",Strength,Alex Johnson,50000,Intermediate,TRUE,5.07
86,290,7/20/2023 6:20,18,Exercise,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Beginner,FALSE,2.09
87,195,2/16/2023 20:00,20,Exercise,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Beginner,FALSE,1.7
88,406,7/5/2023 19:24,57,Exercise,"['Chest', 'Shoulders']",Strength,Sarah Kim,60000,Advanced,TRUE,7.13
89,131,6/4/2023 18:21,56,Exercise,"['Back', 'Core']",Flexibility,Alex Johnson,50000,Advanced,TRUE,6.25
90,49,9/10/2023 20:00,30,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,2.86
91,135,6/10/2023 12:16,17,Movement,"['Legs', 'Glutes']",Strength,Marcus Lee,12000,Beginner,TRUE,2.25
92,472,9/19/2023 6:14,44,Exercise,"['Biceps', 'Triceps']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,8.72
93,454,8/23/2023 3:41,49,Exercise,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Advanced,FALSE,7.95
94,68,7/27/2023 21:37,34,Exercise,"['Biceps', 'Triceps']",Strength,Sarah Kim,60000,Intermediate,TRUE,4.27
95,52,7/12/2023 20:00,40,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Intermediate,FALSE,5.09
96,147,12/14/2023 20:00,39,Movement,"['Chest', 'Shoulders']",Cardio,Alex Johnson,50000,Intermediate,FALSE,6.79
97,243,6/13/2023 19:48,20,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,2.28
98,1,9/27/2023 17:13,24,Movement,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,FALSE,2
99,254,5/20/2023 6:59,31,Exercise,"['Back', 'Core']",Strength,Alex Johnson,50000,Intermediate,FALSE,5.99
100,64,7/21/2023 18:47,26,Movement,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.49
101,308,8/1/2023 20:00,40,Exercise,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Intermediate,TRUE,3.63
102,350,10/10/2023 18:23,50,Movement,"['Biceps', 'Triceps']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,5.78
103,388,6/17/2023 22:00,19,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,FALSE,1.77
104,22,3/28/2023 22:23,36,Exercise,"['Biceps', 'Triceps']",Strength,Alex Johnson,50000,Intermediate,TRUE,4.39
105,355,6/24/2023 18:45,40,Exercise,"['Biceps', 'Triceps']",Strength,Marcus Lee,12000,Advanced,TRUE,6.66
106,228,7/22/2023 18:58,30,Movement,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,3.1
107,375,4/4/2023 8:03,59,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Advanced,TRUE,7.59
108,358,10/3/2023 22:25,13,Movement,"['Back', 'Core']",Strength,Marcus Lee,12000,Beginner,TRUE,2.97
109,457,9/25/2023 17:12,12,Movement,"['Biceps', 'Triceps']",Cardio,Marcus Lee,12000,Beginner,TRUE,1.21
110,217,3/7/2023 12:04,57,Exercise,"['Biceps', 'Triceps']",Cardio,Alex Johnson,50000,Advanced,FALSE,8.93
111,388,6/15/2023 18:06,14,Movement,"['Biceps', 'Triceps']",Strength,Marcus Lee,12000,Beginner,FALSE,1.02
112,369,9/14/2023 11:49,34,Exercise,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Intermediate,TRUE,3.25
113,487,3/3/2023 13:17,30,Movement,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Beginner,FALSE,2.78
114,84,9/12/2023 12:28,30,Exercise,"['Chest', 'Shoulders']",Cardio,Marcus Lee,12000,Beginner,TRUE,1.41
115,44,4/17/2023 12:42,42,Movement,"['Legs', 'Glutes']",Flexibility,Emma Rodriguez,2500000,Advanced,FALSE,5.64
116,447,3/16/2023 5:47,56,Movement,"['Biceps', 'Triceps']",Strength,Sarah Kim,60000,Advanced,TRUE,7.87
117,158,8/25/2023 13:29,55,Movement,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Advanced,FALSE,8.23
118,333,5/7/2023 12:25,56,Exercise,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Advanced,TRUE,8.26
119,225,4/8/2023 17:41,24,Movement,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.84
120,102,4/17/2023 6:57,24,Exercise,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,1.74
121,293,6/18/2023 20:00,12,Movement,"['Legs', 'Glutes']",Strength,Alex Johnson,50000,Beginner,TRUE,2.95
122,94,2/10/2023 20:00,19,Exercise,"['Biceps', 'Triceps']",Flexibility,Marcus Lee,12000,Beginner,TRUE,1.68
123,416,5/2/2023 11:00,23,Exercise,"['Biceps', 'Triceps']",Cardio,Marcus Lee,12000,Beginner,TRUE,1.07
124,346,3/24/2023 18:00,39,Exercise,"['Biceps', 'Triceps']",Flexibility,Sarah Kim,60000,Intermediate,FALSE,4.37
125,295,8/20/2023 7:10,30,Movement,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Beginner,FALSE,2.3
126,226,9/30/2023 18:17,50,Movement,"['Biceps', 'Triceps']",Cardio,Emma Rodriguez,2500000,Intermediate,TRUE,3.41
127,463,9/6/2023 19:28,31,Exercise,"['Chest', 'Shoulders']",Cardio,Marcus Lee,12000,Intermediate,TRUE,5.66
128,277,7/15/2023 11:56,37,Exercise,"['Biceps', 'Triceps']",Flexibility,Alex Johnson,50000,Intermediate,FALSE,6.72
129,249,1/30/2023 20:00,18,Movement,"['Biceps', 'Triceps']",Strength,Marcus Lee,12000,Beginner,FALSE,2.64
130,158,9/19/2023 19:23,55,Movement,"['Chest', 'Shoulders']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,7.62
131,266,3/24/2023 20:00,26,Movement,"['Legs', 'Glutes']",Flexibility,Alex Johnson,50000,Beginner,FALSE,2.53
132,123,5/19/2023 11:24,24,Exercise,"['Chest', 'Shoulders']",Cardio,Alex Johnson,50000,Beginner,TRUE,2.67
133,334,7/17/2023 19:05,31,Exercise,"['Back', 'Core']",Cardio,Marcus Lee,12000,Intermediate,TRUE,5.27
134,82,8/21/2023 23:36,13,Exercise,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Beginner,FALSE,2.23
135,31,5/25/2023 19:17,38,Exercise,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,5.18
136,454,7/20/2023 19:20,56,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Advanced,TRUE,8.17
137,217,3/1/2023 18:59,46,Exercise,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Advanced,TRUE,8.73
138,199,5/31/2023 18:22,47,Exercise,"['Back', 'Core']",Strength,Marcus Lee,12000,Intermediate,FALSE,6.2
139,58,9/30/2023 23:41,21,Exercise,"['Back', 'Core']",Cardio,Alex Johnson,50000,Beginner,TRUE,2.03
140,142,2/12/2023 13:25,34,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Intermediate,TRUE,4.09
141,297,8/14/2023 19:51,26,Exercise,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.4
142,206,7/7/2023 17:21,11,Exercise,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Beginner,FALSE,1.09
143,308,10/1/2023 6:19,44,Movement,"['Chest', 'Shoulders']",Cardio,Emma Rodriguez,2500000,Intermediate,FALSE,6.77
144,339,2/27/2023 19:57,17,Exercise,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,FALSE,1.12
145,321,6/17/2023 20:00,37,Movement,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,3.3
146,8,5/12/2023 6:08,41,Movement,"['Biceps', 'Triceps']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,5.87
147,10,11/3/2023 12:14,45,Movement,"['Chest', 'Shoulders']",Flexibility,Marcus Lee,12000,Intermediate,TRUE,4.07
148,16,6/15/2023 20:16,18,Exercise,"['Biceps', 'Triceps']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.49
149,216,5/23/2023 11:17,39,Movement,"['Biceps', 'Triceps']",Strength,Marcus Lee,12000,Intermediate,TRUE,5.85
150,13,6/7/2023 22:00,47,Movement,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,5.89
151,227,9/13/2023 20:06,14,Movement,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Beginner,TRUE,2.25
152,500,10/17/2023 5:28,29,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,FALSE,2.79
153,381,4/13/2023 18:45,14,Movement,"['Back', 'Core']",Cardio,Sarah Kim,60000,Beginner,TRUE,2.63
154,281,6/14/2023 21:57,51,Movement,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Advanced,TRUE,5.36
155,127,2/19/2023 20:00,20,Exercise,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.67
156,337,5/4/2023 17:59,33,Exercise,"['Biceps', 'Triceps']",Cardio,Marcus Lee,12000,Intermediate,FALSE,4.34
157,185,11/17/2023 12:03,43,Movement,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Intermediate,FALSE,3.59
158,41,8/31/2023 18:05,46,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Advanced,TRUE,6.14
159,334,9/5/2023 20:00,48,Movement,"['Back', 'Core']",Strength,Marcus Lee,12000,Intermediate,TRUE,6.66
160,294,11/25/2023 22:00,38,Exercise,"['Chest', 'Shoulders']",Cardio,Alex Johnson,50000,Intermediate,TRUE,3.25
161,54,6/29/2023 17:45,17,Movement,"['Legs', 'Glutes']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,2.5
162,93,5/6/2023 17:24,22,Exercise,"['Back', 'Core']",Strength,Alex Johnson,50000,Beginner,TRUE,1.55
163,20,9/29/2023 18:41,51,Exercise,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Advanced,FALSE,6.27
164,252,6/12/2023 8:02,18,Movement,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.1
165,429,3/13/2023 18:27,49,Movement,"['Biceps', 'Triceps']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,8
166,488,4/4/2023 17:38,26,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.21
167,354,7/23/2023 21:35,29,Movement,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,2.33
168,306,8/30/2023 12:06,38,Exercise,"['Biceps', 'Triceps']",Strength,Alex Johnson,50000,Intermediate,TRUE,3.04
169,186,8/1/2023 5:39,48,Exercise,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Advanced,TRUE,5.56
170,373,4/4/2023 8:20,13,Movement,"['Back', 'Core']",Cardio,Alex Johnson,50000,Beginner,TRUE,2.91
171,32,6/29/2023 5:57,48,Movement,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,8.82
172,165,7/14/2023 8:08,44,Exercise,"['Chest', 'Shoulders']",Cardio,Sarah Kim,60000,Intermediate,TRUE,3.55
173,70,4/7/2023 17:49,45,Exercise,"['Legs', 'Glutes']",Cardio,Alex Johnson,50000,Advanced,FALSE,8.85
174,211,8/24/2023 11:16,54,Exercise,"['Biceps', 'Triceps']",Strength,Sarah Kim,60000,Advanced,TRUE,7.59
175,104,6/7/2023 6:10,14,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.89
176,179,6/30/2023 17:26,55,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,6.25
177,428,1/12/2023 7:13,23,Movement,"['Biceps', 'Triceps']",Flexibility,Sarah Kim,60000,Beginner,TRUE,2.37
178,427,6/23/2023 21:40,16,Exercise,"['Biceps', 'Triceps']",Flexibility,Marcus Lee,12000,Beginner,TRUE,2.28
179,152,7/31/2023 19:33,26,Exercise,"['Back', 'Core']",Strength,Marcus Lee,12000,Beginner,FALSE,2.97
180,218,6/26/2023 20:00,33,Movement,"['Biceps', 'Triceps']",Cardio,Sarah Kim,60000,Intermediate,TRUE,3.09
181,126,12/10/2023 8:07,31,Movement,"['Biceps', 'Triceps']",Cardio,Sarah Kim,60000,Intermediate,TRUE,4.77
182,246,11/9/2023 19:11,17,Movement,"['Biceps', 'Triceps']",Flexibility,Sarah Kim,60000,Beginner,FALSE,2.99
183,308,10/10/2023 23:38,49,Exercise,"['Biceps', 'Triceps']",Cardio,Marcus Lee,12000,Intermediate,TRUE,5.24
184,57,5/29/2023 20:00,47,Movement,"['Chest', 'Shoulders']",Strength,Sarah Kim,60000,Intermediate,TRUE,4.99
185,102,7/24/2023 20:00,30,Movement,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.91
186,23,4/28/2023 20:00,34,Exercise,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Intermediate,FALSE,3
187,438,2/26/2023 22:00,43,Movement,"['Biceps', 'Triceps']",Cardio,Sarah Kim,60000,Intermediate,FALSE,4.59
188,355,8/19/2023 19:44,44,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Advanced,TRUE,6.95
189,229,3/14/2023 18:39,47,Movement,"['Biceps', 'Triceps']",Cardio,Alex Johnson,50000,Intermediate,TRUE,6.91
190,249,3/20/2023 18:37,25,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.62
191,469,9/12/2023 6:35,16,Movement,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Beginner,TRUE,2.46
192,350,9/6/2023 20:26,41,Movement,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Advanced,FALSE,5.66
193,301,3/20/2023 5:11,56,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Advanced,FALSE,6.37
194,337,4/25/2023 13:16,43,Movement,"['Legs', 'Glutes']",Strength,Marcus Lee,12000,Intermediate,TRUE,3.37
195,71,7/2/2023 7:03,44,Movement,"['Biceps', 'Triceps']",Strength,Sarah Kim,60000,Intermediate,TRUE,6.73
196,319,9/15/2023 20:00,19,Movement,"['Biceps', 'Triceps']",Cardio,Emma Rodriguez,2500000,Beginner,FALSE,2.9
197,322,7/11/2023 19:39,23,Exercise,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,1.42
198,239,6/8/2023 19:41,42,Movement,"['Chest', 'Shoulders']",Cardio,Sarah Kim,60000,Intermediate,FALSE,3.11
199,81,9/1/2023 18:03,19,Exercise,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Beginner,TRUE,1.57
200,260,7/5/2023 17:27,58,Exercise,"['Chest', 'Shoulders']",Flexibility,Marcus Lee,12000,Advanced,TRUE,8.28
201,6,4/4/2023 20:00,49,Movement,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Intermediate,TRUE,5.22
202,251,7/18/2023 20:00,29,Exercise,"['Back', 'Core']",Cardio,Sarah Kim,60000,Beginner,TRUE,2.27
203,31,5/24/2023 7:42,42,Movement,"['Biceps', 'Triceps']",Strength,Emma Rodriguez,2500000,Intermediate,TRUE,6.42
204,19,4/5/2023 17:40,19,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.98
205,60,7/16/2023 7:33,27,Movement,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Beginner,FALSE,1.55
206,241,9/25/2023 19:58,22,Exercise,"['Back', 'Core']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.36
207,483,3/8/2023 13:23,35,Exercise,"['Biceps', 'Triceps']",Flexibility,Alex Johnson,50000,Intermediate,TRUE,3.69
208,435,6/26/2023 8:09,31,Exercise,"['Back', 'Core']",Flexibility,Marcus Lee,12000,Intermediate,TRUE,3.25
